
==================================================
ROZPOCZYNAM EKSPERYMENT 1: ARCHITEKTURA
==================================================

[Eksperyment 1] Parametry: {'batch_size': 64, 'lr': 0.001, 'dropout_rate': 0.2, 'kernel_size': 3, 'num_filters': 8}

--- Start Treningu | Batch 64 LR 0.001 Kernel 3 Filters 8 Dropout 0.2 ---
Epoka [33/50]   |  Train Acc: 65.09%  |  Val Acc: 85.62%  |  LR: 0.000260
!!!     [Brak poprawy: 6/20]    !!!
Epoka [34/50]   |  Train Acc: 66.97%  |  Val Acc: 91.78%  |  LR: 0.000233
Epoka [35/50]   |  Train Acc: 67.49%  |  Val Acc: 87.67%  |  LR: 0.000207
!!!     [Brak poprawy: 1/20]    !!!
Epoka [36/50]   |  Train Acc: 67.83%  |  Val Acc: 90.64%  |  LR: 0.000182
!!!     [Brak poprawy: 2/20]    !!!
Epoka [37/50]   |  Train Acc: 68.46%  |  Val Acc: 87.21%  |  LR: 0.000159
!!!     [Brak poprawy: 3/20]    !!!
Epoka [38/50]   |  Train Acc: 67.83%  |  Val Acc: 88.81%  |  LR: 0.000136
!!!     [Brak poprawy: 4/20]    !!!
Epoka [39/50]   |  Train Acc: 68.46%  |  Val Acc: 86.76%  |  LR: 0.000116
!!!     [Brak poprawy: 5/20]    !!!
Epoka [40/50]   |  Train Acc: 68.00%  |  Val Acc: 88.81%  |  LR: 0.000096
!!!     [Brak poprawy: 6/20]    !!!
Epoka [41/50]   |  Train Acc: 69.94%  |  Val Acc: 87.67%  |  LR: 0.000079
!!!     [Brak poprawy: 7/20]    !!!
Epoka [42/50]   |  Train Acc: 70.51%  |  Val Acc: 89.73%  |  LR: 0.000063
!!!     [Brak poprawy: 8/20]    !!!
Epoka [43/50]   |  Train Acc: 68.91%  |  Val Acc: 88.36%  |  LR: 0.000049
!!!     [Brak poprawy: 9/20]    !!!
Epoka [44/50]   |  Train Acc: 70.51%  |  Val Acc: 90.18%  |  LR: 0.000036
!!!     [Brak poprawy: 10/20]   !!!
Epoka [45/50]   |  Train Acc: 69.66%  |  Val Acc: 86.76%  |  LR: 0.000025
!!!     [Brak poprawy: 11/20]   !!!
